ORF,max_5_ind_1,max_5_ind_2,max_5_ind_3,max_5_ind_4,max_5_ind_5
YDR465C,284,5630,1245,396,6372
YDR466W,4860,2985,3798,238,366
YDR467C,-2,-2,-2,-2,-2
YDR468C,4968,5569,32,6080,4108
YDR469W,4097,86,6299,2887,440
YDR470C,444,5959,5486,4010,5578
YDR471W,846,298,446,6560,1804
YDR472W,4989,1477,3969,5854,1297
YDR473C,5900,4984,1894,6312,3517
YDR475C,6548,3273,4446,1549,3072
YDR476C,2991,4534,1549,991,1072
YDR477W,2211,2307,1746,1492,2129
YDR478W,533,432,2396,4230,5344
YDR479C,4439,2368,433,6485,6271
YDR480W,6206,2851,138,2410,337
YDR481C,350,2652,5379,4041,3003
YDR482C,3849,4984,1427,2938,4048
YDR483W,2958,1438,1715,6210,5837
YDR484W,3285,1059,3920,4369,1540
YDR485C,1395,2366,505,4643,1236
YDR486C,3663,4107,4284,3936,3706
YDR487C,5703,532,156,417,5620
YDR488C,3955,1494,5077,6336,1191
YDR489W,6595,5706,4187,4383,3176
YDR490C,2985,4860,3798,238,5658
YDR491C,-2,-2,-2,-2,-2
YDR492W,3313,4538,4812,2150,5745
YDR493W,1446,1652,1583,3118,4919
YDR494W,5256,219,410,1774,5432
YDR495C,4516,1,5003,4234,6202
YDR496C,5066,2856,802,2026,6375
YDR497C,2173,6428,5554,3807,5292
YDR498C,2194,5814,2242,4161,4377
YDR499W,399,6315,550,1268,643
YDR500C,846,298,6560,2456,2769
YDR501W,3459,527,424,3084,1800
YDR502C,1831,1764,4283,6442,5605
YDR503C,6062,4929,5477,5993,823
YDR504C,4932,1576,3328,2275,-2
YDR505C,5219,875,3459,1928,4618
YDR506C,4572,1892,1964,2712,5382
YDR507C,2875,3452,3571,4429,656
YDR508C,3420,2057,604,6482,2425
YDR509W,909,1911,5592,2936,1582
YDR510C-A,5935,6064,4806,6364,4069
YDR510W,1479,835,6176,6653,1459
YDR511W,4053,1446,1772,3822,1564
YDR512C,3588,1962,6006,641,2397
YDR513W,2593,4126,6216,6249,190
YDR514C,6000,5782,150,3151,404
YDR515W,1919,2051,2763,5699,2216
YDR516C,620,2087,4861,2043,463
YDR517W,1997,872,829,2405,1235
YDR518W,66,4742,3290,3741,5645
YDR519W,1196,2816,1590,1360,3741
YDR520C,4387,3965,6669,739,3472
YDR521W,-2,-2,-2,-2,-2
YDR522C,1595,4422,6003,3410,1302
YDR523C,2962,4456,3866,1138,1933
YDR524C,629,972,1600,5327,6553
YDR524C-A,1600,1090,4065,-2,-2
YDR524C-B,629,6237,2287,5025,4881
YDR524W-C,6303,2198,3827,2579,2121
YDR525W,1332,5019,3465,1597,6344
YDR525W-A,1332,1144,2175,6162,5195
YDR526C,-2,-2,-2,-2,-2
YDR527W,4519,3596,4926,841,5554
YDR528W,5283,1993,5439,1182,1587
YDR529C,5801,6664,2064,2807,3431
YDR530C,631,3505,1361,3662,1287
YDR531W,2663,3103,3756,3171,1243
YDR532C,2189,3216,39,5623,1735
YDR533C,4601,5776,1328,5711,1705
YDR534C,6141,2732,2740,2167,4308
YDR535C,780,951,5155,4755,6641
YDR536W,4197,4055,4937,792,2459
YDR537C,1614,-2,-2,-2,-2
YDR538W,1615,5512,1613,4561,5083
YDR539W,1614,5512,1616,4047,5574
YDR540C,5874,6410,3406,4045,2089
YDR541C,887,5728,5457,423,1508
YDR542W,5548,81,579,3204,2738
YDR543C,244,3661,5463,3005,243
YDR544C,1619,3005,5464,1622,2020
YDR545C-A,1622,6156,4597,1620,1619
YDR545W,1621,4595,3006,4081,4745
YEL001C,5052,4149,4634,5389,182
YEL002C,5824,4910,3259,2325,5841
YEL003W,4303,5275,2449,4702,3444
YEL004W,4640,6409,876,2324,1508
YEL005C,2175,1419,5201,3727,4530
YEL006W,1777,6351,1498,4312,2840
YEL007W,2061,1144,152,5770,2542
YEL008C-A,-2,-2,-2,-2,-2
YEL008W,4783,1663,4758,2719,5043
YEL009C,1339,5290,5604,6187,2834
YEL009C-A,1634,4065,-2,-2,-2
YEL010W,1633,4065,-2,-2,-2
YEL011W,6629,6657,4365,2043,3959
YEL012W,6524,4051,3885,1868,2183
YEL013W,2974,5452,644,6079,1627
YEL014C,4065,-2,-2,-2,-2
YEL015W,5236,938,5709,2270,6588
YEL016C,6276,1326,1719,3062,3537
YEL017C-A,682,2101,1239,5069,4604
YEL017W,2494,1929,4072,3538,5631
YEL018C-A,1644,-2,-2,-2,-2
YEL018W,3576,1421,3341,2867,5255
YEL019C,4503,5586,4089,1344,878
YEL020C,1295,4509,5924,4657,1987
YEL020C-B,1648,821,1256,2823,-2
YEL020W-A,3632,2564,3872,2752,348
YEL021W,5867,4717,5481,2896,5045
YEL022W,5413,913,1865,1006,921
YEL023C,6016,3,1524,1471,4065
YEL024W,5801,6664,4053,4121,6692
YEL025C,4581,5453,4579,4065,4886
YEL026W,5900,3769,4652,6552,1894
YEL027W,4574,389,2384,6086,6018
YEL028W,4065,-2,-2,-2,-2
YEL029C,5496,285,4852,6586,4468
YEL030C-A,-2,-2,-2,-2,-2
YEL030W,5981,4366,1971,1378,3036
YEL031W,2305,1021,2602,236,2601
YEL032C-A,-2,-2,-2,-2,-2
YEL032W,4187,3176,313,1560,473
YEL033W,1631,4948,2440,4783,409
YEL034C-A,1665,-2,-2,-2,-2
YEL034W,2828,3565,6291,4158,2220
YEL035C,1669,3545,3544,6233,1631
YEL036C,1296,3570,3448,265,24
YEL037C,970,4051,1915,2980,4972
YEL038W,3519,4757,6577,1666,6527
YEL039C,5801,1652,2064,2807,3134
YEL040W,5088,4457,2572,3765,2871
YEL041W,5364,4933,6131,6219,1803
YEL042W,6207,2324,1719,518,1554
YEL043W,2460,2067,3930,1,3713
YEL044W,6400,1236,5173,1833,4135
YEL045C,5703,1677,4570,5826,2819
YEL046C,4141,1987,539,715,1821
YEL047C,4053,6308,3891,3546,6431
YEL048C,4989,1477,2547,1544,1297
YEL049W,3899,579,3204,2738,764
YEL050C,161,3321,5300,1774,4626
YEL050W-A,-2,-2,-2,-2,-2
YEL051W,1655,4574,389,6399,2384
YEL052W,4517,4123,6671,-2,1024
YEL053C,6509,2761,676,5629,6590
YEL053W-A,1488,1687,-2,-2,-2
YEL054C,846,298,446,6560,1804
YEL055C,3369,1467,1385,6286,1721
YEL056W,6157,5142,4034,5141,257
YEL057C,153,4828,5656,2213,2529
YEL058W,876,1972,3775,3799,4861
YEL059C-A,1282,3180,4911,4164,4787
YEL059W,4449,1692,4459,1736,1691
YEL060C,6316,4281,5075,562,5125
YEL061C,3286,6373,5794,6603,4128
YEL062W,2196,3635,237,5698,1169
YEL063C,5867,1649,1038,597,5950
YEL064C,3494,3890,4212,1702,1697
YEL065W,4812,1892,6141,2167,4221
YEL066W,6157,6666,6244,6488,3576
YEL067C,4065,2712,4451,2848,694
YEL068C,1706,118,3072,2947,5260
YEL069C,5544,1478,1704,1776,1697
YEL070W,1717,2004,5157,5544,5160
YEL071W,4657,659,2157,5776,1328
YEL072W,1936,1702,1704,5544,1703
YEL073C,6544,3293,4779,6033,5442
YEL074W,1710,1709,1713,1711,244
YEL075C,1711,1710,1713,1708,1947
YEL075W-A,1709,1711,1708,1713,4590
YEL076C,1709,4597,5465,1947,1710
YEL076C-A,4597,5465,3006,4081,4595
YEL077C,1711,1709,1710,1708,247
YEL077W-A,-2,-2,-2,-2,-2
YER001W,6210,2132,265,3876,3451
YER002W,1869,5228,2856,1721,5174
YER003C,2004,463,826,4573,3775
YER004W,323,3869,170,3412,2807
YER005W,4476,5481,1277,4878,3688
YER006C-A,1723,-2,-2,-2,-2
YER006W,5066,1869,2856,802,6375
YER007C-A,3509,4873,4270,2703,5593
YER007W,6106,6013,5270,4736,4898
YER008C,1207,4269,3345,2333,3087
YER009W,4405,5929,4450,3296,6331
YER010C,2491,859,3884,5187,2324
YER011W,5715,3696,3648,3542,1080
YER012W,3258,4699,6009,2777,1739
YER013W,4984,989,1125,3849,318
YER014C-A,6051,697,2915,5453,1867
YER014W,1080,1083,5920,985,6026
YER015W,2304,3909,6308,5707,5325
YER016W,609,4128,1996,4692,4736
YER017C,2615,4845,451,144,2507
YER018C,5623,3170,4874,2571,3286
YER019C-A,1123,4498,559,6252,6002
YER019W,449,5074,3931,4366,818
YER020W,3262,806,5960,5845,5215
YER021W,3258,4699,6009,2777,2143
YER022W,2817,2224,5695,2475,1364
YER023C-A,1742,-2,-2,-2,-2
YER023W,431,6076,715,4227,2790
YER024W,4644,105,1792,5838,659
YER025W,6499,1499,4131,3501,4873
YER026C,6572,279,585,3568,5292
YER027C,1548,2211,1872,2276,1492
YER028C,1548,1511,6590,399,1396
YER029C,5900,4984,989,4652,6552
YER030W,3949,5561,5309,1275,120
YER031C,1880,5390,32,1212,6079
YER032W,424,1242,1171,5153,3946
YER033C,5995,5283,4782,4194,4063
YER034W,3131,545,3549,2054,5153
YER035W,5709,5236,2321,1639,938
YER036C,1128,6472,1140,5066,40
YER037W,2131,1018,2139,1632,1337
YER038C,4624,5586,4503,1645,1344
YER038W-A,1759,-2,-2,-2,-2
YER039C,1758,1760,1759,5724,5725
YER039C-A,1759,5724,5725,2362,5461
YER040W,5352,1978,2637,818,3370
YER041W,1455,4958,501,5768,4703
YER042W,613,2593,3737,4126,6205
YER043C,1831,4283,1573,2531,2281
YER044C,2430,4184,2092,4973,2754
YER044C-A,4892,4444,2930,3516,2712
YER045C,5147,1632,2742,5711,6475
YER046W,5122,4052,1770,1143,4672
YER046W-A,1770,-2,-2,-2,-2
YER047C,1769,1914,5890,3696,3936
YER048C,1378,2671,2074,3427,4984
YER048W-A,894,596,6296,6419,5974
YER049W,5787,5766,1215,4355,1919
YER050C,2689,6636,2226,6169,526
YER051W,1389,5142,1923,3615,1276
YER052C,3636,1199,2775,715,6608
YER053C,229,4365,2633,5801,5023
YER053C-A,5039,2565,1485,6098,4263
YER054C,1876,4365,4382,1635,295
YER055C,610,3140,5950,2120,523
YER056C,2244,4111,846,298,446
YER056C-A,2244,4111,846,298,446
YER057C,3667,3646,4228,4631,4275
YER058W,6292,5507,294,2072,415
YER059W,6187,6383,424,2834,958
YER060W,1781,4309,4309,940,940
YER060W-A,1781,4309,940,6520,3629
YER061C,3721,5969,3869,6396,3858
YER062C,792,3071,5859,2723,5613
YER063W,2218,1450,1179,6087,1200
YER064C,2435,5527,4822,2133,3923
YER065C,5235,3244,4497,4417,4000
YER066C-A,1796,174,1005,-2,-2
YER066W,1389,2330,907,4270,440
YER067C-A,1796,2043,4836,5505,1635
YER067W,4442,1795,2043,1635,2045
YER068C-A,1799,-2,-2,-2,-2
YER068W,6530,3054,944,751,5414
YER069W,5700,3348,5612,4816,2766
YER070W,3282,2563,344,5219,5813
YER071C,3209,3669,5555,3086,3050
YER072W,6175,3269,4735,2906,1956
YER073W,62,4240,137,2988,6351
YER074W,2244,4111,846,298,446
YER074W-A,2554,5386,2297,4607,4431
YER075C,4197,138,2781,3390,2410
YER076C,1808,4065,1032,87,45
YER076W-A,1807,-2,-2,-2,-2
YER077C,4150,4820,2203,6111,1411
YER078C,3806,3774,2253,5636,3213
YER078W-A,1813,1814,1815,4065,2208
YER079C-A,1814,-2,-2,-2,-2
YER079W,1811,4905,1814,5996,5917
YER080W,1812,1811,1813,2880,4619
YER081W,5928,3095,3826,5610,790
YER082C,3327,3769,522,5000,6381
YER083C,873,2114,165,5671,5908
YER084W,1820,2381,3072,2947,5260
YER084W-A,1820,-2,-2,-2,-2
YER085C,1819,4065,1352,1407,4970
YER086W,4865,590,2120,835,3511
YER087C-A,1624,2116,1012,5841,5824
YER087C-B,1123,4498,559,6252,6002
YER087W,6197,4502,2345,2768,5912
YER088C,6343,847,5456,179,1210
YER088C-A,1827,1828,-2,-2,-2
YER088W-B,1826,1828,-2,-2,-2
YER089C,181,1111,4197,5956,1548
YER090C-A,-2,-2,-2,-2,-2
YER090W,3886,2120,1416,6518,2245
YER091C,1764,1573,4283,4416,2222
YER091C-A,-2,-2,-2,-2,-2
YER092W,1966,5934,4135,1675,770
YER093C,5632,5116,3878,3315,4822
YER093C-A,2507,1846,674,530,3098
YER094C,3258,4699,6009,2777,1739
YER095W,4634,550,2260,4958,3352
YER096W,273,1093,5356,1595,6568
YER097W,-2,-2,-2,-2,-2
YER098W,5644,4051,4270,2701,5863
YER099C,3857,194,5615,5078,1780
YER100W,3672,4772,3045,3885,336
YER101C,2101,3745,2313,895,2579
YER102W,846,298,446,6560,1804
YER103W,6405,5117,5761,4038,434
YER104W,674,1835,686,3438,5610
YER105C,4714,3295,2027,3984,4915
YER106W,743,6368,1509,3216,6398
YER107C,4800,3735,2492,6331,2571
YER107W-A,1849,-2,-2,-2,-2
YER109C,3227,4928,5879,5676,2657
YER110C,267,1464,4463,2341,6465
YER111C,5822,47,424,5435,4285
YER112W,5042,5900,1894,3517,3384
YER113C,1574,6411,2497,4166,1146
YER114C,469,48,4335,5933,3275
YER115C,1063,3073,4174,2750,1143
YER116C,782,6438,5936,1876,1479
YER117W,846,446,6560,1804,3643
YER118C,4197,2378,3390,4480,4335
YER119C,3820,5218,6478,3494,4844
YER119C-A,1863,-2,-2,-2,-2
YER120W,2838,788,106,2710,3887
YER121W,2620,3465,5019,6344,372
YER122C,5413,913,3526,1650,4377
YER123W,1117,138,2410,3238,848
YER124C,2915,2122,4396,422,5179
YER125W,336,4051,1095,4270,1220
YER126C,5066,2856,6375,1721,1140
YER127W,5525,3327,3769,929,4700
YER128W,6646,4347,4284,4183,5388
YER129W,2211,1746,1548,2307,2276
YER130C,6463,4766,2984,3588,2513
YER131W,2244,4111,846,298,446
YER132C,6512,1004,5433,3358,5215
YER133W,5345,3870,2028,3681,51
YER133W-A,1878,-2,-2,-2,-2
YER134C,1877,2644,5534,1104,6040
YER135C,1172,3917,6583,186,3091
YER136W,1957,1997,1750,4598,3914
YER137C,1883,805,2002,315,1424
YER137C-A,5006,4270,4051,1180,3996
YER137W-A,1881,-2,-2,-2,-2
YER138C,5006,485,3492,1816,4595
YER138W-A,3522,1137,1317,4362,4920
YER139C,5053,5345,916,1473,431
YER140W,3274,5040,5895,4147,4188
YER141W,6334,2485,5801,6292,6419
YER142C,3786,141,980,6329,6103
YER143W,1668,5052,2980,4546,2036
YER144C,4051,4270,3996,2687,5475
YER145C,4812,2000,1699,2732,1326
YER145C-A,1894,4065,5272,2198,821
YER146W,5900,6552,3517,3384,4233
YER147C,1224,771,3332,2055,4831
YER147C-A,1897,-2,-2,-2,-2
YER148W,1186,2369,3724,2208,4706
YER148W-A,1899,-2,-2,-2,-2
YER149C,4033,4434,5394,5419,5672
YER150W,2855,5282,2633,4281,5023
YER151C,5522,310,3463,6114,1958
YER152C,2908,1903,4840,3317,2301
YER152W-A,1902,-2,-2,-2,-2
YER153C,6705,2606,5899,5516,3664
YER154W,2432,4974,6221,451,6696
YER155C,6635,4335,5205,3142,3956
YER156C,5630,522,2604,6373,988
YER157W,6563,5152,4677,2493,2322
YER158C,77,1876,5040,424,5025
YER158W-A,-2,-2,-2,-2,-2
YER159C,1466,1897,6240,4569,1278
YER159C-A,5006,4270,4051,1180,3996
YER160C,1973,5006,3079,85,1010
YER161C,1770,5862,6172,6053,2344
YER162C,4972,2643,1668,1367,3547
YER163C,4840,2502,5831,1902,5745
YER164W,4675,2637,2344,5142,591
YER165C-A,1920,-2,-2,-2,-2
YER165W,5699,2543,2144,1215,2561
YER166W,5449,752,5518,749,5572
YER167W,47,1853,5822,827,2414
YER168C,3981,3880,6256,3902,6505
YER169W,5142,1775,3433,1275,5561
YER170W,4637,3600,3734,4476,6477
YER171W,1367,1115,881,6482,6514
YER172C,5900,1729,4984,4652,1894
YER172C-A,1928,-2,-2,-2,-2
YER173W,3563,5651,5416,343,399
YER174C,2319,3972,53,4041,55
YER175C,2213,3626,2766,297,2154
YER175W-A,4065,5625,-2,-2,-2
YER176W,2843,1215,1053,2443,1253
YER177W,4788,1138,2693,238,6579
YER178W,5186,2576,492,1974,5828
YER179W,2712,2280,2127,3093,2260
YER180C,1706,6208,6048,1935,1472
YER180C-A,6208,429,4346,1632,207
YER181C,2166,-2,-2,-2,-2
YER182W,1166,152,5770,2542,5971
YER183C,2588,3982,1478,339,52
YER184C,4128,4387,157,5936,713
YER185W,1165,4604,1606,630,5531
YER186C,1946,1944,687,4065,5768
YER187W,5542,1943,5565,1946,240
YER188C-A,5463,1947,1950,3661,1619
YER188W,1943,4579,1944,3733,113
YER189W,1711,1950,1945,2021,3006
YER190C-A,-2,-2,-2,-2,-2
YER190C-B,-2,-2,-2,-2,-2
YER190W,1947,1945,247,4081,4745
YFL001W,5418,1161,5991,2159,807
YFL002C,4802,6020,4887,6168,2268
YFL002W-A,3984,5006,2269,6287,4636
YFL002W-B,3654,5006,6192,-2,4072
YFL003C,2712,4931,1455,6326,2351
YFL004W,1802,6175,3269,1126,6269
YFL005W,1880,5395,6474,2333,4269
YFL007W,6119,3258,5591,5095,2083
YFL008W,2469,771,4831,3332,3040
YFL009W,907,4162,1389,5693,1090
YFL010C,5945,2031,6615,3674,1964
YFL010W-A,641,2398,2397,5804,3609
YFL011W,1548,5677,5186,1027,376
YFL012W,1966,2031,2061,6270,2016
YFL012W-A,1966,-2,-2,-2,-2
YFL013C,5934,4135,1833,770,1236
YFL013W-A,-2,-2,-2,-2,-2
YFL014W,5606,2459,2855,4740,4933
YFL015C,1970,4065,-2,-2,-2
YFL015W-A,1969,4065,-2,-2,-2
YFL016C,3540,1310,5981,5117,4366
YFL017C,1691,3775,876,4839,620
YFL017W-A,3849,5900,148,4201,4984
YFL018C,1189,5186,2576,3149,492
YFL019C,-2,-2,-2,-2,-2
YFL020C,579,96,2362,2680,5548
YFL021C-A,1978,-2,-2,-2,-2
YFL021W,1977,1761,2637,3370,5352
YFL022C,4143,2767,6490,2465,2568
YFL023W,418,4303,3924,1632,5434
YFL024C,2858,5992,3576,6480,5225
YFL025C,2966,4171,1504,1392,704
YFL026W,3884,5266,2751,6350,3854
YFL027C,1997,6414,1014,1750,5806
YFL028C,22,3937,5414,2509,3054
YFL029C,398,6578,899,3452,2479
YFL030W,4657,4141,1677,1295,539
YFL031C-A,1989,-2,-2,-2,-2
YFL031W,2845,3290,4742,1164,3347
YFL032W,1989,-2,-2,-2,-2
YFL033C,4789,3728,1133,5279,2985
YFL034C-A,846,446,6560,2456,2124
YFL034C-B,5283,3866,3153,6110,2870
YFL034W,2708,4273,999,2773,4148
YFL036W,4999,814,6084,4826,4150
YFL037W,4692,4736,6013,1733,6106
YFL038C,1880,3969,1297,829,4683
YFL039C,4062,4452,2773,5257,366
YFL040W,4396,2572,3423,5496,3525
YFL041W,1892,478,4116,5103,4323
YFL041W-A,4065,1096,313,3098,2530
YFL042C,805,5413,5380,2928,2084
YFL044C,970,900,4051,2418,435
YFL045C,1717,826,6656,2161,2353
YFL046W,2790,2791,4227,2004,3677
YFL047W,5303,536,3312,4784,4335
YFL048C,4163,4356,6654,5413,4377
YFL049W,565,5492,4785,6491,2715
YFL050C,6088,5685,2580,5684,3730
YFL051C,5144,5272,5129,2024,3338
YFL052W,1995,3314,2673,3832,6118
YFL053W,5859,3726,1086,3181,4676
YFL054C,2014,2723,2542,3713,4603
YFL055W,2013,5725,5724,4069,4484
YFL058W,2519,5609,6427,285,1657
YFL059W,2017,4851,5460,5459,4852
YFL060C,2016,4852,5459,5460,515
YFL061W,2415,5461,823,2500,1302
YFL062W,5462,580,4744,3660,2742
YFL063W,5463,3661,1619,5549,3900
YFL064C,2023,2022,2024,245,3492
YFL065C,2023,2021,2024,3006,2743
YFL066C,2021,2022,2024,2743,3009
YFL067W,2023,2022,3006,2021,2744
YFL068W,-2,-2,-2,-2,-2
YFR001W,1567,3848,5954,5228,6605
YFR002W,3296,3295,2492,4450,2269
YFR003C,1876,3870,4617,1506,6341
YFR004W,3258,4699,6009,2777,1739
YFR005C,2462,3849,4984,2445,3517
YFR006W,1964,6401,2061,2016,2008
YFR007W,1148,5481,3820,1607,3873
YFR008W,4806,4779,1247,4344,5245
YFR009W,2294,1339,4984,3501,1744
YFR009W-A,2034,-2,-2,-2,-2
YFR010W,3258,4699,6009,2777,1739
YFR010W-A,2038,-2,-2,-2,-2
YFR011C,638,5217,2619,538,3916
YFR012W,2040,2522,2523,2039,2523
YFR012W-A,2522,2523,2039,4456,2871
YFR013W,520,4178,4796,2230,3323
YFR014C,366,2169,5567,4662,4558
YFR015C,1635,3401,3959,6629,4365
YFR016C,4033,5705,4543,2344,3669
YFR017C,6657,1635,1796,4442,6412
YFR018C,920,3188,623,1590,6316
YFR019W,5451,4506,4346,5166,2049
YFR020W,5720,3196,164,2549,3109
YFR021W,2945,207,4346,5365,925
YFR022W,1868,6075,1983,4512,4899
YFR023W,2561,1215,6331,2543,2144
YFR024C-A,5925,128,2882,5778,3275
YFR025C,610,3140,1780,1632,431
YFR026C,164,2549,3109,1753,6037
YFR027W,3332,4831,4833,3040,771
YFR028C,3334,6578,4748,2469,2463
YFR029W,1201,3420,2753,1534,1579
YFR030W,3505,6637,3634,3662,3970
YFR031C,4381,4169,227,1386,846
YFR031C-A,846,298,446,6560,1804
YFR032C,904,2244,4111,846,298
YFR032C-A,904,2244,4111,846,298
YFR032C-B,4065,-2,-2,-2,-2
YFR033C,5801,6664,4121,4265,2807
YFR034C,6187,5550,2617,879,5089
YFR034W-A,2067,-2,-2,-2,-2
YFR035C,2066,1674,1627,3153,3210
YFR036W,5295,4186,4212,3237,1157
YFR036W-A,2070,5272,6403,1465,951
YFR037C,3150,4474,2426,714,6491
YFR038W,4984,1662,4383,145,6476
YFR039C,5714,3532,3293,5600,3294
YFR040W,818,6498,1506,4778,485
YFR041C,3331,6002,4985,3290,2225
YFR042W,6627,2121,2601,2611,725
YFR043C,1750,4634,2309,2305,429
YFR044C,5314,4412,557,1799,3361
YFR045W,6467,5198,341,5838,3572
YFR046C,4874,1735,6391,1441,482
YFR047C,5957,2374,4443,5247,3520
YFR048W,3358,3731,5747,2030,360
YFR049W,1189,3149,1974,526,5875
YFR050C,3258,4699,6009,2777,1739
YFR051C,3097,2234,5413,6166,1289
YFR052C-A,2087,-2,-2,-2,-2
YFR052W,3258,4699,6009,2777,1739
YFR053C,620,4861,1588,463,2353
YFR054C,2863,703,2084,5115,695
YFR055W,5999,1831,2376,2531,1764
YFR056C,2089,-2,-2,-2,-2
YFR057W,5730,812,4569,768,2089
YGL001C,4184,2430,2835,2558,2754
YGL002W,4613,2299,5749,5,787
YGL003C,3286,3685,424,2340,931
YGL004C,2616,1463,3017,2143,548
YGL005C,5163,2322,6563,4677,1908
YGL006W,366,902,2601,3867,4176
YGL006W-A,815,-2,-2,-2,-2
YGL007C-A,4065,-2,-2,-2,-2
YGL007W,3280,3601,2101,395,2698
YGL008C,4355,196,45,259,5041
YGL009C,597,5222,5847,3511,2120
YGL010W,3876,1173,2342,4192,882
YGL011C,3258,4699,6009,2777,1739
YGL012W,4765,4606,4139,2754,4973
YGL013C,5894,1042,2824,5444,3485
YGL014C-A,-2,-2,-2,-2,-2
YGL014W,1567,5126,6024,6116,5320
YGL015C,1998,4434,2564,883,896
YGL016W,5929,4405,835,2341,6285
YGL017W,2567,4106,6339,3557,424
YGL018C,6296,894,6525,4489,6216
YGL019W,5797,3051,4849,2461,611
YGL020C,873,1817,5908,165,5671
YGL021W,6564,6373,4133,5027,6324
YGL022W,4498,5824,4910,3259,2325
YGL023C,2544,4733,3907,207,6342
YGL024W,2119,721,3528,1683,4715
YGL025C,773,5604,5359,2475,223
YGL026C,3886,1416,1038,1830,374
YGL027C,502,5824,4620,3259,1624
YGL028C,2915,1867,5179,5538,5453
YGL029W,2808,1869,5228,4091,6043
YGL030W,846,298,446,6560,1804
YGL031C,846,298,446,6560,1804
YGL032C,1983,5515,1532,747,3027
YGL033W,2280,1935,6108,4371,2712
YGL034C,3585,6500,1513,213,4065
YGL035C,1548,2353,5056,3190,741
YGL036W,309,3931,3714,4065,6499
YGL037C,5957,812,2840,1469,792
YGL038C,6207,4726,3173,3627,1715
YGL039W,1330,887,4997,804,4822
YGL040C,985,6026,1283,1083,1731
YGL041C,-2,-2,-2,-2,-2
YGL041C-B,4065,-2,-2,-2,-2
YGL041W-A,4065,-2,-2,-2,-2
YGL042C,2139,3525,-2,-2,-2
YGL043W,2369,2916,5892,2166,2433
YGL044C,4199,4815,1279,1357,4386
YGL045W,5420,2717,4916,6023,589
YGL047W,323,518,368,5160,2611
YGL048C,3258,4699,6009,2777,1739
YGL049C,5699,1919,3960,3402,4884
YGL050W,5701,4602,6371,2832,1505
YGL051W,2147,103,5413,6033,1289
YGL052W,2146,2148,48,103,-2
YGL053W,801,2147,3836,6318,6258
YGL054C,3165,3132,4223,5964,4613
YGL055W,3246,3683,5046,5993,5229
YGL056C,3870,2537,1492,2073,4988
YGL057C,58,2507,2681,530,185
YGL058W,724,2183,845,2567,4106
YGL059W,5828,1934,736,2842,411
YGL060W,5943,2189,2156,3631,1306
YGL061C,3938,2486,1048,1248,3985
YGL062W,4000,45,659,5468,4109
YGL063C-A,-2,-2,-2,-2,-2
YGL063W,807,2550,5620,1951,5418
YGL064C,6185,4984,5699,3849,305
YGL065C,368,5160,518,2004,826
YGL066W,2637,5708,335,4994,1219
YGL067W,5896,2840,4238,2323,369
YGL068W,1288,410,3321,707,6346
YGL069C,3610,5777,793,2164,6538
YGL070C,2369,2916,3724,5892,2433
YGL071W,4812,4317,4221,5103,1135
YGL072C,6102,2335,4583,3702,3807
YGL073W,6405,4954,5117,1845,4789
YGL074C,2169,384,4718,1463,3392
YGL075C,6422,4584,3274,6364,5664
YGL076C,846,298,446,6560,1804
YGL077C,1568,133,1745,2891,6619
YGL078C,802,1721,1140,5174,6200
YGL079W,3727,1627,1419,5201,4530
YGL080W,2628,2935,5838,5517,3693
YGL081W,2330,2982,2895,4908,401
YGL082W,3613,5050,4051,5020,1180
YGL083W,4984,1148,4019,3802,5851
YGL084C,5919,442,6253,374,5488
YGL085W,4188,6213,3711,1781,5506
YGL086W,2212,3286,799,2571,5760
YGL087C,4051,2153,1129,724,4114
YGL088W,4065,3756,-2,-2,-2
YGL089C,6350,3854,3497,1983,647
YGL090W,5735,4374,5060,4863,1434
YGL091C,5363,3972,6506,3152,5079
YGL092W,890,3537,2196,4311,3723
YGL093W,2571,5760,5623,39,1608
YGL094C,3689,22,5523,751,2602
YGL095C,5569,1384,4968,5772,1540
YGL096W,3995,424,438,2197,2918
YGL097W,4405,5007,5312,5929,1032
YGL098W,1569,5814,4377,2242,4108
YGL099W,2944,2630,1140,4158,6291
YGL100W,3984,237,890,5698,3537
YGL101W,3352,5172,2190,4577,3891
YGL102C,2199,4159,6502,4145,4056
YGL103W,846,298,446,6560,1804
YGL104C,876,249,2385,4992,225
YGL105W,2345,2649,5912,2553,205
YGL106W,2773,6079,6407,6661,31
YGL107C,1565,6161,1411,4401,1905
YGL108C,2205,5407,900,3548,1529
YGL109W,2204,-2,-2,-2,-2
YGL110C,3923,5302,6430,1663,1003
YGL111W,5066,2808,5228,2856,6251
YGL112C,1186,4706,702,591,1897
YGL113W,5796,3780,3350,1560,1044
YGL114W,6667,3478,5040,3995,323
YGL115W,1492,2307,1548,1746,1872
YGL116W,213,3286,3685,3270,2571
YGL117W,1930,2766,5612,2834,3626
YGL118C,4065,1775,5114,3615,1925
YGL119W,4721,5653,1251,4304,2640
YGL120C,5066,4278,5000,6381,4549
YGL121C,4281,6128,2413,1106,5606
YGL122C,267,1450,6331,987,1502
YGL123C-A,2220,-2,-2,-2,-2
YGL123W,846,298,446,6560,1804
YGL124C,4598,394,5003,4234,848
YGL125W,6179,1831,2588,4141,539
YGL126W,6141,1340,5909,3110,1377
YGL127C,5695,2795,2817,1740,1364
